usagekey,scientificname,rank,status,matchtype,canonicalname,confidence,kingdom,phylum,order,family,genus,species,kingdomkey,phylumkey,classkey,orderkey,familykey,genuskey,specieskey,synonym,class,acceptedusagekey,note,original_sciname
5411408,Campanula latifolia L.,species,ACCEPTED,EXACT,Campanula latifolia,100,Plantae,Tracheophyta,Asterales,Campanulaceae,Campanula,Campanula latifolia,6,7707728,220,414,8801,3161935,5411408,FALSE,Magnoliopsida,NA,NA,Campanula latifolia L.
8265191,Campanula lamiifolia Adam,species,SYNONYM,FUZZY,Campanula lamiifolia,63,Plantae,Tracheophyta,Asterales,Campanulaceae,Campanula,Campanula alliariifolia,6,7707728,220,414,8801,3161935,5410181,TRUE,Magnoliopsida,7222074,Similarity: name=95; authorship=-36; classification=-2; rank=6; status=0,Campanula latifolia L.
5411760,Campanula lamiifolia M.Bieb.,species,SYNONYM,FUZZY,Campanula lamiifolia,63,Plantae,Tracheophyta,Asterales,Campanulaceae,Campanula,Campanula alliariifolia,6,7707728,220,414,8801,3161935,5410181,TRUE,Magnoliopsida,7222074,Similarity: name=95; authorship=-36; classification=-2; rank=6; status=0,Campanula latifolia L.
5409544,Campanula liliifolia L.,species,SYNONYM,FUZZY,Campanula liliifolia,21,Plantae,Tracheophyta,Asterales,Campanulaceae,Adenophora,Adenophora liliifolia,6,7707728,220,414,8801,3161042,5409500,TRUE,Magnoliopsida,5409500,Similarity: name=5; authorship=12; classification=-2; rank=6; status=0,Campanula latifolia L.
8714881,Campanula linifolia L.,species,SYNONYM,FUZZY,Campanula linifolia,21,Plantae,Tracheophyta,Asterales,Campanulaceae,Campanula,Campanula persicifolia,6,7707728,220,414,8801,3161935,5411475,TRUE,Magnoliopsida,7222076,Similarity: name=5; authorship=12; classification=-2; rank=6; status=0,Campanula latifolia L.
5604747,"Campanula lilifolia Lam., 1785",species,ACCEPTED,FUZZY,Campanula lilifolia,0,Plantae,Tracheophyta,Asterales,Campanulaceae,Campanula,Campanula lilifolia,6,7707728,220,414,8801,3161935,5604747,FALSE,Magnoliopsida,NA,Similarity: name=5; authorship=-36; classification=-2; rank=6; status=1,Campanula latifolia L.
7614502,Campanula linifolia Hegetschw.,species,ACCEPTED,FUZZY,Campanula linifolia,0,Plantae,Tracheophyta,Asterales,Campanulaceae,Campanula,Campanula linifolia,6,7707728,220,414,8801,3161935,7614502,FALSE,Magnoliopsida,NA,Similarity: name=5; authorship=-36; classification=-2; rank=6; status=1,Campanula latifolia L.
5409801,Campanula hastifolia Salisb.,species,SYNONYM,FUZZY,Campanula hastifolia,0,Plantae,Tracheophyta,Asterales,Campanulaceae,Canarina,Canarina canariensis,6,7707728,220,414,8801,3161920,3161926,TRUE,Magnoliopsida,3161926,Similarity: name=5; authorship=-36; classification=-2; rank=6; status=0,Campanula latifolia L.
5411024,Campanula lancifolia (Mert. & W.D.J.Koch) Witasek,species,SYNONYM,FUZZY,Campanula lancifolia,0,Plantae,Tracheophyta,Asterales,Campanulaceae,Campanula,Campanula baumgartenii,6,7707728,220,414,8801,3161935,5411278,TRUE,Magnoliopsida,7069320,Similarity: name=5; authorship=-36; classification=-2; rank=6; status=0,Campanula latifolia L.
7448539,Campanula lancifolia Roxb.,species,SYNONYM,FUZZY,Campanula lancifolia,0,Plantae,Tracheophyta,Asterales,Campanulaceae,Cyclocodon,Cyclocodon lancifolius,6,7707728,220,414,8801,7816703,3164997,TRUE,Magnoliopsida,3164997,Similarity: name=5; authorship=-36; classification=-2; rank=6; status=0,Campanula latifolia L.
8031229,Campanula lancifolia Schur,species,SYNONYM,FUZZY,Campanula lancifolia,0,Plantae,Tracheophyta,Asterales,Campanulaceae,Campanula,Campanula rotundifolia,6,7707728,220,414,8801,3161935,5410907,TRUE,Magnoliopsida,5410907,Similarity: name=5; authorship=-36; classification=-2; rank=6; status=0,Campanula latifolia L.
8151743,Campanula linifolia Haenke,species,SYNONYM,FUZZY,Campanula linifolia,0,Plantae,Tracheophyta,Asterales,Campanulaceae,Campanula,Campanula scheuchzeri,6,7707728,220,414,8801,3161935,5410226,TRUE,Magnoliopsida,7786845,Similarity: name=5; authorship=-36; classification=-2; rank=6; status=0,Campanula latifolia L.
8800676,Campanula linifolia Lam.,species,SYNONYM,FUZZY,Campanula linifolia,0,Plantae,Tracheophyta,Asterales,Campanulaceae,Campanula,Campanula scheuchzeri,6,7707728,220,414,8801,3161935,5410226,TRUE,Magnoliopsida,5410226,Similarity: name=5; authorship=-36; classification=-2; rank=6; status=0,Campanula latifolia L.
9442966,Campanula linifolia Pers.,species,SYNONYM,FUZZY,Campanula linifolia,0,Plantae,Tracheophyta,Asterales,Campanulaceae,Campanula,Campanula carnica,6,7707728,220,414,8801,3161935,5411303,TRUE,Magnoliopsida,5411303,Similarity: name=5; authorship=-36; classification=-2; rank=6; status=0,Campanula latifolia L.
7642447,Campanula linifolia Schrank,species,SYNONYM,FUZZY,Campanula linifolia,0,Plantae,Tracheophyta,Asterales,Campanulaceae,Campanula,Campanula rotundifolia,6,7707728,220,414,8801,3161935,5410907,TRUE,Magnoliopsida,5410907,Similarity: name=5; authorship=-36; classification=-2; rank=6; status=0,Campanula latifolia L.
8171486,Campanula linifolia Scop.,species,SYNONYM,FUZZY,Campanula linifolia,0,Plantae,Tracheophyta,Asterales,Campanulaceae,Campanula,Campanula carnica,6,7707728,220,414,8801,3161935,5411303,TRUE,Magnoliopsida,5411303,Similarity: name=5; authorship=-36; classification=-2; rank=6; status=0,Campanula latifolia L.
5407633,Campanula lyrifolia Salisb.,species,SYNONYM,FUZZY,Campanula lyrifolia,0,Plantae,Tracheophyta,Asterales,Campanulaceae,Michauxia,Michauxia campanuloides,6,7707728,220,414,8801,9578309,5407630,TRUE,Magnoliopsida,5407630,Similarity: name=5; authorship=-36; classification=-2; rank=6; status=0,Campanula latifolia L.
5410955,Campanula variifolia Salisb.,species,SYNONYM,FUZZY,Campanula variifolia,0,Plantae,Tracheophyta,Asterales,Campanulaceae,Campanula,Campanula rotundifolia,6,7707728,220,414,8801,3161935,5410907,TRUE,Magnoliopsida,5410907,Similarity: name=5; authorship=-36; classification=-2; rank=6; status=0,Campanula latifolia L.
